,v_inf,v_conj,class
55,ansia,$anseiu#,class__ansiar
56,odia,$odeiu#,class__ansiar
57,pleitea,$pleiteiu#,class__ansiar
58,insendia,$insendeiu#,class__ansiar
59,sortea,$sorteiu#,class__ansiar
60,hemedia,$hemedeiu#,class__ansiar
61,intermedia,$intermedeiu#,class__ansiar
62,media,$medeiu#,class__ansiar
63,pasea,$paseiu#,class__ansiar
64,entrega,$entrEgu#,class__testar
65,komesa,$komEsu#,class__testar
66,headekua,$headEkuu#,class__testar
67,kompleta,$komplEtu#,class__testar
68,protesta,$protEstu#,class__testar
69,espera,$espEru#,class__testar
70,adekua,$adEkuu#,class__testar
71,manifesta,$manifEstu#,class__testar
72,infekita,$infEkitu#,class__testar
73,empresta,$emprEstu#,class__testar
74,detesta,$detEstu#,class__testar
75,testa,$tEstu#,class__testar
76,pega,$pEgu#,class__testar
77,sega,$sEgu#,class__testar
78,seka,$sEku#,class__testar
79,leva,$lEvu#,class__testar
80,obiserva,$obisErvu#,class__testar
81,konversa,$konvErsu#,class__testar
82,fexa,$fExu#,class__testar
83,espresa,$esprEsu#,class__testar
84,olia,$Oliu#,class__botar
85,koloka,$kolOku#,class__botar
86,informa,$infOrmu#,class__botar
87,torna,$tOrnu#,class__botar
88,boia,$bOiu#,class__botar
89,bota,$bOtu#,class__botar
90,toka,$tOku#,class__botar
91,foka,$fOku#,class__botar
92,mostra,$mOstru#,class__botar
93,xora,$xOru#,class__botar
94,nota,$nOtu#,class__botar
95,tostar,$tOstu#,class__botar
96,troka,$trOku#,class__botar
97,heboka,$hebOku#,class__botar
98,soka,$sOku#,class__botar
99,kosa,$kOsu#,class__botar
100,toma,$tOmu#,class__botar
101,hekorta,$hekOrtu#,class__botar
102,entorta,$entOrtu#,class__botar
103,enkosta,$enkOstu#,class__botar
104,hetorna,$hetOrnu#,class__botar
105,ora,$Oru#,class__botar
106,mora,$mOru#,class__botar
107,posta,$pOstu#,class__botar
108,joga,$jOgu#,class__botar
109,akorda,$akOrdu#,class__botar
110, #korta#',$ #kOrtu#,class__botar
111, #aumosa,$aumOsu#,class__botar
112,gosta,$gOstu#,class__botar
113,volta,$vOltu#,class__botar
114,perfaze,$perfasu#,class__fazer
115,transfaze,$transfasu#,class__fazer
116,insatisfaze,$insatisfasu#,class__fazer
117,maufaze,$maufasu#,class__fazer
118,likefaze,$likefasu#,class__fazer
119,benfaze,$benfasu#,class__fazer
120,satisfaze,$satisfasu#,class__fazer
121,putrefaze,$putrefasu#,class__fazer
122,kontrafaze,$kontrafasu#,class__fazer
123,tohefaze,$tohefasu#,class__fazer
124,harefaze,$harefasu#,class__fazer
125,esfaze,$esfasu#,class__fazer
126,despraze,$desprasu#,class__fazer
127,faze,$fasu#,class__fazer
128,adijaze,$adijasu#,class__fazer
129,esklui,$eskluu#,class__regular
130,aproveita,$aproveitu#,class__regular
131,imajina,$imajinu#,class__regular
132,akaba,$akabu#,class__regular
133,merese,$meresu#,class__regular
134,viaja,$viaju#,class__regular
135,konjuga,$konjugu#,class__regular
136,planta,$plantu#,class__regular
137,envia,$enviu#,class__regular
138,krese,$kresu#,class__regular
139,anda,$andu#,class__regular
140,lambuza,$lambuzu#,class__regular
141,estuda,$istudu#,class__regular
142,kontinua,$kontinuu#,class__regular
143,aguarda,$aguardu#,class__regular
144,liga,$ligu#,class__regular
145,xove,$xovu#,class__regular
146,grita,$gritu#,class__regular
147,ezerse,$ezersu#,class__regular
148,aji,$aju#,class__regular
149,fala,$falu#,class__regular
150,levanta,$levantu#,class__regular
151,fika,$fiku#,class__regular
152,deixa,$deixu#,class__regular
153,julga,$julgu#,class__regular
154,posui,$posuu#,class__regular
155,voa,$vou#,class__regular
156,nada,$nadu#,class__regular
157,para,$paru#,class__regular
158,kome,$komu#,class__regular
159,permanese,$permanesu#,class__regular
160,partisipa,$partisipu#,class__regular
161,kativa,$kativu#,class__regular
162,agradese,$agradesu#,class__regular
163,pula,$pulu#,class__regular
164,akompania,$akompaniu#,class__regular
165,dividi,$dividu#,class__regular
166,xega,$xegu#,class__regular
167,dezeja,$dezeju#,class__regular
168,deslingua,$deslinguu#,class__regular
169,kazar,$kazu#,class__regular
170,zoa,$zou#,class__regular
171,akonteser,$akontesu#,class__regular
172,konieser,$koniesu#,class__regular
173,kohe,$kohu#,class__regular
174,kompreende,$kompreendu#,class__regular
175,vende,$vendu#,class__regular
176,ensina,$ensinu#,class__regular
177,healiza,$healisu#,class__regular
178,muda,$mudu#,class__regular
179,permiti,$permitu#,class__regular
180,sofre,$sofru#,class__regular
181,atribui,$atribuu#,class__regular
182,konvida,$konvidu#,class__regular
183,eriji,$eriju#,class__regular
184,analiza,$analisu#,class__regular
185,okohe,$okohu#,class__regular
186,disouve,$disouvu#,class__regular
187,kompraze,$komprazu#,class__regular
188,mexe,$mexu#,class__regular
189,presiza,$presizu#,class__regular
190,kohijir,$kohiju#,class__regular
191,hespeita,$hespeitu#,class__regular
192,lava,$lavu#,class__regular
193,vahe,$vahu#,class__regular
194,beija,$beiju#,class__regular
195,eduka,$eduku#,class__regular
196,dese,$desu#,class__regular
197,diriji,$diriju#,class__regular
198,kompra,$kompru#,class__regular
199,axa,$axu#,class__regular
200,finji,$finju#,class__regular
201,konta,$kontu#,class__regular
202,pensa,$pensu#,class__regular
203,ezisti,$ezistu#,class__regular
204,sakudi,$sakudu#,class__regular
205,trabalia,$trabaliu#,class__regular
206,asisti,$asistu#,class__regular
207,subimete,$subimetu#,class__regular
208,atende,$atendu#,class__regular
209,kanta,$kantu#,class__regular
210,surji,$surju#,class__regular
211,prokura,$prokuru#,class__regular
212,friji,$friju#,class__regular
213,kaminia,$kaminiu#,class__regular
214,marka,$marku#,class__regular
215,eskese,$eskesu#,class__regular
216,tenta,$tentu#,class__regular
217,desidi,$desidu#,class__regular
218,dezisti,$dezistu#,class__regular
219,lembra,$lembru#,class__regular
220,aparese,$aparesu#,class__regular
221,brinka,$brinku#,class__regular
222,uza,$uzu#,class__regular
223,envouve,$envouvu#,class__regular
224,omitir,$omitu#,class__regular
225,deve,$devu#,class__regular
226,hompe,$hompu#,class__regular
227,sede,$sedu#,class__regular
228,buska,$busku#,class__regular
229,eskreve,$eskrevu#,class__regular
230,enkaminiar,$enkaminiu#,class__regular
231,kumpri,$kumpru#,class__regular
232,ama,$amu#,class__regular
233,ajuda,$ajudu#,class__regular
234,diskuti,$diskutu#,class__regular
235,entra,$entru#,class__regular
236,parese,$paresu#,class__regular
237,parti,$partu#,class__regular
238,aprezentar,$aprezentu#,class__regular
239,bebe,$bebu#,class__regular
240,adikiri,$adikiru#,class__regular
241,oferese,$oferesu#,class__regular
242,enxe,$enxu#,class__regular
243,pasa,$pasu#,class__regular
244,inisia,$inisiu#,class__regular
245,dansa,$dansu#,class__regular
246,enkontra,$enkontru#,class__regular
247,soniar,$soniu#,class__regular
248,kompartilia,$kompartiliu#,class__regular
249,aprende,$aprendu#,class__regular
250,aviza,$avizu#,class__regular
251,entende,$entendu#,class__regular
252,manda,$mandu#,class__regular
253,preukupa,$preukupu#,class__regular
254,garanti,$garantu#,class__regular
255,senta,$sentu#,class__regular
256,xama,$xamu#,class__regular
257,murxa,$murxu#,class__regular
258,hi,$hiu#,class__regular
259,inkohe,$inkohu#,class__regular
260,mobiliar,$mobiliu#,class__regular
261,buli,$bulu#,class__regular
262,fuji,$fuju#,class__regular
263,adiverti,$adivertu#,class__regular
264,desprove,$desprovu#,class__regular
265,konsumi,$konsumu#,class__regular
266,distrai,$distraiu#,class__regular
267,akudi,$akudu#,class__regular
268,subi,$subu#,class__regular
269,eleje,$eleju#,class__regular
270,konstrui,$konstruu#,class__regular
271,tende,$tendu#,class__regular
272,denfende,$defendu#,class__regular
273,jaze,$jazu#,class__regular
274,sumi,$sumu#,class__regular
275,mohe,$mohu#,class__regular
276,kontravi,$kontravu#,class__regular
277,afliji,$afliju#,class__regular
278,inklui,$inkluu#,class__regular
279,transfuji,$transfuju#,class__regular
280,emerji,$emerju#,class__regular
281,heda,$hedu#,class__regular
282,despoli,$despolu#,class__regular
283,dezagua,$dezaguu#,class__regular
284,hemedi,$hemedu#,class__regular
285,influi,$influu#,class__regular
286,sauva,$sauvu#,class__regular
287,prende,$prendu#,class__regular
288,espulsa,$espulsu#,class__regular
289,hevolve,$hevolvu#,class__regular
290,enxuga,$enxugu#,class__regular
291,eskapuli,$eskapulu#,class__regular
292,konvense,$konvensu#,class__regular
293,hetrai,$hetraiu#,class__regular
294,moe,$mou#,class__regular
295,abri,$abru#,class__regular
296,konklui,$konkluu#,class__regular
297,atinji,$atinju#,class__regular
298,okulta,$okultu#,class__regular
299,izenta,$izentu#,class__regular
300,limpa,$limpu#,class__regular
301,esprimi,$esprimu#,class__regular
302,fartar,$fartu#,class__regular
303,trai,$traiu#,class__regular
304,mingua,$minguu#,class__regular
305,desmobilia,$desmobiliu#,class__regular
306,sohi,$sohiu#,class__regular
307,perverte,$pervertu#,class__regular
308,preklui,$prekluu#,class__regular
309,kontrai,$kontraiu#,class__regular
310,estingi,$estingu#,class__regular
311,desprekave,$desprekavu#,class__regular
312,televe,$televu#,class__regular
313,entupi,$entupu#,class__regular
314,deskalsa,$deskalsu#,class__regular
315,gasta,$gastu#,class__regular
316,finda,$findu#,class__regular
317,kuspi,$kuspu#,class__regular
318,pretende,$pretendu#,class__regular
319,dormi,$durmu#,class__regular
320,destrui,$destruu#,class__regular
321,esvai,$esvaiu#,class__regular
322,suspende,$suspendu#,class__regular
323,kai,$kaiu#,class__regular
324,imprimi,$imprimu#,class__regular
325,imerji,$imerju#,class__regular
326,subimerji,$subimerju#,class__regular
327,benze,$benzu#,class__regular
328,gania,$ganiu#,class__regular
329,aseita,$aseitu#,class__regular
330,konfuji,$konfuju#,class__regular
331,segura,$seguru#,class__regular
332,junta,$juntu#,class__regular
333,asende,$asendu#,class__regular
334,kohompe,$kohompu#,class__regular
335,atrai,$atraiu#,class__regular
336,kultiva,$kultivu#,class__regular
337,eskuta,$eskutu#,class__regular
338,mata,$matu#,class__regular
339,paga,$pagu#,class__regular
340,sai,$saiu#,class__regular
341,bate,$batu#,class__regular
342,eskolie,$eskoliu#,class__regular
343,impedi,$impEsu#,class__pedir
344,pedi,$pEsu#,class__pedir
345,dezimpedi,$dezimpEsu#,class__pedir
346,despedi,$despEsu#,class__pedir
347,medi,$mEsu#,class__pedir
348,espedi,$espEsu#,class__pedir
349,desmedi,$desmEsu#,class__pedir
350,obivi,$obiveniu#,class__vir
351,hekonvi,$hekonveniu#,class__vir
352,vi,$veniu#,class__vir
353,adivi,$adiveniu#,class__vir
354,deskonvi,$deskonveniu#,class__vir
355,avi,$aveniu#,class__vir
356,dezavi,$dezaveniu#,class__vir
357,provi,$proveniu#,class__vir
358,hevi,$heveniu#,class__vir
359,konvi,$konveniu#,class__vir
360,sobrevi,$sobreveniu#,class__vir
361,hesenti,$hesintu#,class__mentir
362,persenti,$persintu#,class__mentir
363,desmenti,$desmintu#,class__mentir
364,presenti,$presintu#,class__mentir
365,asenti,$asintu#,class__mentir
366,menti,$mintu#,class__mentir
367,senti,$sintu#,class__mentir
368,konsenti,$konsintu#,class__mentir
369,dize,$digu#,class__dizer
370,hedize,$hedigu#,class__dizer
371,desdize,$desdigu#,class__dizer
372,kondize,$kondigu#,class__dizer
373,entredize,$entredigu#,class__dizer
374,kontradize,$kontradigu#,class__dizer
375,interdize,$interdigu#,class__dizer
376,kontrapo,$kontraponiu#,class__por
377,dispo,$disponiu#,class__por
378,transpo,$transponiu#,class__por
379,hedispo,$hedisponiu#,class__por
380,espo,$esponiu#,class__por
381,despo,$desponiu#,class__por
382,depo,$deponiu#,class__por
383,superpo,$superponiu#,class__por
384,pospo,$posponiu#,class__por
385,antepo,$anteponiu#,class__por
386,trespo,$tresponiu#,class__por
387,interpo,$interponiu#,class__por
388,dekompo,$dekomponiu#,class__por
389,impo,$imponiu#,class__por
390,supo,$suponiu#,class__por
391,justapo,$justaponiu#,class__por
392,deskompo,$deskomponiu#,class__por
393,propo,$proponiu#,class__por
394,presupo,$presuponiu#,class__por
395,hekompo,$hekomponiu#,class__por
396,entrepo,$entreponiu#,class__por
397,prosupo,$prosuponiu#,class__por
398,predispo,$predisponiu#,class__por
399,indispo,$indisponiu#,class__por
400,dezapo,$dezaponiu#,class__por
401,kompo,$komponiu#,class__por
402,po,$poniu#,class__por
