,v_inf,v_conj,class
53,kre,$kreiu#,class__ler
54,tresle,$treleiu#,class__ler
55,Ansia,$Anseiu#,class__ansiar
56,odia,$odeiu#,class__ansiar
57,pleitea,$pleiteiu#,class__ansiar
58,ins3ndia,$ins3ndeiu#,class__ansiar
59,sortea,$sorteiu#,class__ansiar
60,hemedia,$hemedeiu#,class__ansiar
61,intermedia,$intermedeiu#,class__ansiar
62,media,$medeiu#,class__ansiar
63,pasea,$paseiu#,class__ansiar
64,3ntrega,$3ntrEgu#,class__testar
65,komesa,$komEsu#,class__testar
66,headekua,$headEkuu#,class__testar
67,kompleta,$komplEtu#,class__testar
68,protesta,$protEstu#,class__testar
69,espera,$espEru#,class__testar
70,adekua,$adEkuu#,class__testar
71,mAnifesta,$mAnifEstu#,class__testar
72,infekita,$infEkitu#,class__testar
73,empresta,$emprEstu#,class__testar
74,detesta,$detEstu#,class__testar
75,testa,$tEstu#,class__testar
76,pega,$pEgu#,class__testar
77,sega,$sEgu#,class__testar
78,seka,$sEku#,class__testar
79,leva,$lEvu#,class__testar
80,obiserva,$obisErvu#,class__testar
81,konversa,$konvErsu#,class__testar
82,fexa,$fExu#,class__testar
83,espresa,$esprEsu#,class__testar
84,olia,$Oliu#,class__botar
85,koloka,$kolOku#,class__botar
86,informa,$infOrmu#,class__botar
87,torna,$tOrnu#,class__botar
88,boia,$bOiu#,class__botar
89,bota,$bOtu#,class__botar
90,toka,$tOku#,class__botar
91,foka,$fOku#,class__botar
92,mostra,$mOstru#,class__botar
93,xora,$xOru#,class__botar
94,nota,$nOtu#,class__botar
95,tostar,$tOstu#,class__botar
96,troka,$trOku#,class__botar
97,heboka,$hebOku#,class__botar
98,soka,$sOku#,class__botar
99,kosa,$kOsu#,class__botar
100,toma,$tOmu#,class__botar
101,hekorta,$hekOrtu#,class__botar
102,3ntorta,$3ntOrtu#,class__botar
103,3nkosta,$3nkOstu#,class__botar
104,hetorna,$hetOrnu#,class__botar
105,ora,$Oru#,class__botar
106,mora,$mOru#,class__botar
107,posta,$pOstu#,class__botar
108,joga,$jOgu#,class__botar
109,akorda,$akOrdu#,class__botar
110, #korta#',$ #kOrtu#,class__botar
111, #aumosa,$aumOsu#,class__botar
112,gosta,$gOstu#,class__botar
113,volta,$vOltu#,class__botar
114,perfaze,$perfasu#,class__fazer
115,trAnsfaze,$trAnsfasu#,class__fazer
116,insatisfaze,$insatisfasu#,class__fazer
117,maufaze,$maufasu#,class__fazer
118,likefaze,$likefasu#,class__fazer
119,b3nfaze,$b3nfasu#,class__fazer
120,satisfaze,$satisfasu#,class__fazer
121,putrefaze,$putrefasu#,class__fazer
122,kontrafaze,$kontrafasu#,class__fazer
123,tohefaze,$tohefasu#,class__fazer
124,harefaze,$harefasu#,class__fazer
125,esfaze,$esfasu#,class__fazer
126,despraze,$desprasu#,class__fazer
127,faze,$fasu#,class__fazer
128,adijaze,$adijasu#,class__fazer
129,esklui,$eskluu#,class__regular
130,aproveita,$aproveitu#,class__regular
131,imajina,$imajinu#,class__regular
132,akaba,$akabu#,class__regular
133,merese,$meresu#,class__regular
134,viaja,$viaju#,class__regular
135,konjuga,$konjugu#,class__regular
136,plAnta,$plAntu#,class__regular
137,3nvia,$3nviu#,class__regular
138,krese,$kresu#,class__regular
139,Anda,$Andu#,class__regular
140,lambuza,$lambuzu#,class__regular
141,estuda,$istudu#,class__regular
142,kontinua,$kontinuu#,class__regular
143,aguarda,$aguardu#,class__regular
144,liga,$ligu#,class__regular
145,xove,$xovu#,class__regular
146,grita,$gritu#,class__regular
147,ezerse,$ezersu#,class__regular
148,aji,$aju#,class__regular
149,fala,$falu#,class__regular
150,levAnta,$levAntu#,class__regular
151,fika,$fiku#,class__regular
152,deixa,$deixu#,class__regular
153,julga,$julgu#,class__regular
154,posui,$posuu#,class__regular
155,voa,$vou#,class__regular
156,nada,$nadu#,class__regular
157,para,$paru#,class__regular
158,kome,$komu#,class__regular
159,permAnese,$permAnesu#,class__regular
160,partisipa,$partisipu#,class__regular
161,kativa,$kativu#,class__regular
162,agradese,$agradesu#,class__regular
163,pula,$pulu#,class__regular
164,akompANa,$akompANu#,class__regular
165,dividi,$dividu#,class__regular
166,xega,$xegu#,class__regular
167,dezeja,$dezeju#,class__regular
168,deslingua,$deslinguu#,class__regular
169,kazar,$kazu#,class__regular
170,zoa,$zou#,class__regular
171,akonteser,$akontesu#,class__regular
172,konieser,$koniesu#,class__regular
173,kohe,$kohu#,class__regular
174,kompre3nde,$kompre3ndu#,class__regular
175,v3nde,$v3ndu#,class__regular
176,3nsina,$3nsinu#,class__regular
177,healiza,$healisu#,class__regular
178,muda,$mudu#,class__regular
179,permiti,$permitu#,class__regular
180,sofre,$sofru#,class__regular
181,atribui,$atribuu#,class__regular
182,konvida,$konvidu#,class__regular
183,eriji,$eriju#,class__regular
184,analiza,$analisu#,class__regular
185,okohe,$okohu#,class__regular
186,disouve,$disouvu#,class__regular
187,kompraze,$komprazu#,class__regular
188,mexe,$mexu#,class__regular
189,presiza,$presizu#,class__regular
190,kohijir,$kohiju#,class__regular
191,hespeita,$hespeitu#,class__regular
192,lava,$lavu#,class__regular
193,vahe,$vahu#,class__regular
194,beija,$beiju#,class__regular
195,eduka,$eduku#,class__regular
196,dese,$desu#,class__regular
197,diriji,$diriju#,class__regular
198,kompra,$kompru#,class__regular
199,axa,$axu#,class__regular
200,finji,$finju#,class__regular
201,konta,$kontu#,class__regular
202,p3nsa,$p3nsu#,class__regular
203,ezisti,$ezistu#,class__regular
204,sakudi,$sakudu#,class__regular
205,trabalia,$trabaliu#,class__regular
206,asisti,$asistu#,class__regular
207,subimete,$subimetu#,class__regular
208,at3nde,$at3ndu#,class__regular
209,kAnta,$kAntu#,class__regular
210,surji,$surju#,class__regular
211,prokura,$prokuru#,class__regular
212,friji,$friju#,class__regular
213,kaminia,$kamiNu#,class__regular
214,marka,$marku#,class__regular
215,eskese,$eskesu#,class__regular
216,t3nta,$t3ntu#,class__regular
217,desidi,$desidu#,class__regular
218,dezisti,$dezistu#,class__regular
219,lembra,$lembru#,class__regular
220,aparese,$aparesu#,class__regular
221,brinka,$brinku#,class__regular
222,uza,$uzu#,class__regular
223,3nvouve,$3nvouvu#,class__regular
224,omitir,$omitu#,class__regular
225,deve,$devu#,class__regular
226,hompe,$hompu#,class__regular
227,sede,$sedu#,class__regular
228,buska,$busku#,class__regular
229,eskreve,$eskrevu#,class__regular
230,3nkaminiar,$3nkamiNu#,class__regular
231,kumpri,$kumpru#,class__regular
232,ama,$amu#,class__regular
233,ajuda,$ajudu#,class__regular
234,diskuti,$diskutu#,class__regular
235,3ntra,$3ntru#,class__regular
236,parese,$paresu#,class__regular
237,parti,$partu#,class__regular
238,aprez3ntar,$aprez3ntu#,class__regular
239,bebe,$bebu#,class__regular
240,adikiri,$adikiru#,class__regular
241,oferese,$oferesu#,class__regular
242,3nxe,$3nxu#,class__regular
243,pasa,$pasu#,class__regular
244,inisia,$inisiu#,class__regular
245,dAnsa,$dAnsu#,class__regular
246,3nkontra,$3nkontru#,class__regular
247,soniar,$soNu#,class__regular
248,kompartilia,$kompartiliu#,class__regular
249,apr3nde,$apr3ndu#,class__regular
250,aviza,$avizu#,class__regular
251,3nt3nde,$3nt3ndu#,class__regular
252,mAnda,$mAndu#,class__regular
253,preukupa,$preukupu#,class__regular
254,garAnti,$garAntu#,class__regular
255,s3nta,$s3ntu#,class__regular
256,xama,$xamu#,class__regular
257,murxa,$murxu#,class__regular
258,hi,$hiu#,class__regular
259,inkohe,$inkohu#,class__regular
260,mobiliar,$mobiliu#,class__regular
261,buli,$bulu#,class__regular
262,fuji,$fuju#,class__regular
263,adiverti,$adivertu#,class__regular
264,desprove,$desprovu#,class__regular
265,konsumi,$konsumu#,class__regular
266,distrai,$distraiu#,class__regular
267,akudi,$akudu#,class__regular
268,subi,$subu#,class__regular
269,eleje,$eleju#,class__regular
270,konstrui,$konstruu#,class__regular
271,t3nde,$t3ndu#,class__regular
272,d3nf3nde,$def3ndu#,class__regular
273,jaze,$jazu#,class__regular
274,sumi,$sumu#,class__regular
275,mohe,$mohu#,class__regular
276,kontravi,$kontravu#,class__regular
277,afliji,$afliju#,class__regular
278,inklui,$inkluu#,class__regular
279,trAnsfuji,$trAnsfuju#,class__regular
280,emerji,$emerju#,class__regular
281,heda,$hedu#,class__regular
282,despoli,$despolu#,class__regular
283,dezagua,$dezaguu#,class__regular
284,hemedi,$hemedu#,class__regular
285,influi,$influu#,class__regular
286,sauva,$sauvu#,class__regular
287,pr3nde,$pr3ndu#,class__regular
288,espulsa,$espulsu#,class__regular
289,hevolve,$hevolvu#,class__regular
290,3nxuga,$3nxugu#,class__regular
291,eskapuli,$eskapulu#,class__regular
292,konv3nse,$konv3nsu#,class__regular
293,hetrai,$hetraiu#,class__regular
294,moe,$mou#,class__regular
295,abri,$abru#,class__regular
296,konklui,$konkluu#,class__regular
297,atinji,$atinju#,class__regular
298,okulta,$okultu#,class__regular
299,iz3nta,$iz3ntu#,class__regular
300,limpa,$limpu#,class__regular
301,esprimi,$esprimu#,class__regular
302,fartar,$fartu#,class__regular
303,trai,$traiu#,class__regular
304,mingua,$minguu#,class__regular
305,desmobilia,$desmobiliu#,class__regular
306,sohi,$sohiu#,class__regular
307,perverte,$pervertu#,class__regular
308,preklui,$prekluu#,class__regular
309,kontrai,$kontraiu#,class__regular
310,estingi,$estingu#,class__regular
311,desprekave,$desprekavu#,class__regular
312,televe,$televu#,class__regular
313,3ntupi,$3ntupu#,class__regular
314,deskalsa,$deskalsu#,class__regular
315,gasta,$gastu#,class__regular
316,finda,$findu#,class__regular
317,kuspi,$kuspu#,class__regular
318,pret3nde,$pret3ndu#,class__regular
319,dormi,$durmu#,class__regular
320,destrui,$destruu#,class__regular
321,esvai,$esvaiu#,class__regular
322,susp3nde,$susp3ndu#,class__regular
323,kai,$kaiu#,class__regular
324,imprimi,$imprimu#,class__regular
325,imerji,$imerju#,class__regular
326,subimerji,$subimerju#,class__regular
327,b3nze,$b3nzu#,class__regular
328,gAnia,$gAnu#,class__regular
329,aseita,$aseitu#,class__regular
330,konfuji,$konfuju#,class__regular
331,segura,$seguru#,class__regular
332,junta,$juntu#,class__regular
333,as3nde,$as3ndu#,class__regular
334,kohompe,$kohompu#,class__regular
335,atrai,$atraiu#,class__regular
336,kultiva,$kultivu#,class__regular
337,eskuta,$eskutu#,class__regular
338,mata,$matu#,class__regular
339,paga,$pagu#,class__regular
340,sai,$saiu#,class__regular
341,bate,$batu#,class__regular
342,eskolie,$eskoliu#,class__regular
343,impedi,$impEsu#,class__pedir
344,pedi,$pEsu#,class__pedir
345,dezimpedi,$dezimpEsu#,class__pedir
346,despedi,$despEsu#,class__pedir
347,medi,$mEsu#,class__pedir
348,espedi,$espEsu#,class__pedir
349,desmedi,$desmEsu#,class__pedir
350,obivi,$obiv3Nu#,class__vir
351,hekonvi,$hekonv3Nu#,class__vir
352,vi,$v3Nu#,class__vir
353,adivi,$adiv3Nu#,class__vir
354,deskonvi,$deskonv3Nu#,class__vir
355,avi,$av3Nu#,class__vir
356,dezavi,$dezav3Nu#,class__vir
357,provi,$prov3Nu#,class__vir
358,hevi,$hev3Nu#,class__vir
359,konvi,$konv3Nu#,class__vir
360,sobrevi,$sobrev3Nu#,class__vir
361,hes3nti,$hesintu#,class__mentir
362,pers3nti,$persintu#,class__mentir
363,desm3nti,$desmintu#,class__mentir
364,pres3nti,$presintu#,class__mentir
365,as3nti,$asintu#,class__mentir
366,m3nti,$mintu#,class__mentir
367,s3nti,$sintu#,class__mentir
368,kons3nti,$konsintu#,class__mentir
369,dize,$digu#,class__dizer
370,hedize,$hedigu#,class__dizer
371,desdize,$desdigu#,class__dizer
372,kondize,$kondigu#,class__dizer
373,3ntredize,$3ntredigu#,class__dizer
374,kontradize,$kontradigu#,class__dizer
375,interdize,$interdigu#,class__dizer
376,kontrapo,$kontrapoNu#,class__por
377,dispo,$dispoNu#,class__por
378,trAnspo,$trAnspoNu#,class__por
379,hedispo,$hedispoNu#,class__por
380,espo,$espoNu#,class__por
381,despo,$despoNu#,class__por
382,depo,$depoNu#,class__por
383,superpo,$superpoNu#,class__por
384,pospo,$pospoNu#,class__por
385,Antepo,$AntepoNu#,class__por
386,trespo,$trespoNu#,class__por
387,interpo,$interpoNu#,class__por
388,dekompo,$dekompoNu#,class__por
389,impo,$impoNu#,class__por
390,supo,$supoNu#,class__por
391,justapo,$justapoNu#,class__por
392,deskompo,$deskompoNu#,class__por
393,propo,$propoNu#,class__por
394,presupo,$presupoNu#,class__por
395,hekompo,$hekompoNu#,class__por
396,3ntrepo,$3ntrepoNu#,class__por
397,prosupo,$prosupoNu#,class__por
398,predispo,$predispoNu#,class__por
399,indispo,$indispoNu#,class__por
400,dezapo,$dezapoNu#,class__por
401,kompo,$kompoNu#,class__por
402,po,$poNu#,class__por
