ir;vou
segurar;seguro
dedicar;dedico
devolver;devolvo
gastar;gasto
arranjar;arranjo
exigir;exijo
apanhar;apanho
gemer;gemo
sugerir;sugiro
representar;represento
instruir;instruo
tratar;trato
comunicar;comunico
fumar;fumo
apoiar;apoio
transformar;transformo
praticar;pratico
encerrar;encerro
punir;puno
constituir;constituo
opor;oponho
render;rendo
efetuar;efetuo
cagar;cago
atribuir;atribuo
definir;defino
parabenizar;parabenizo
substituir;substituo
iluminar;ilumino
desfazer;desfaço
superar;supero
escorrer;escorro
confiar;confio
perturbar;perturbo
assumir;assumo
escanear;escaneio
publicar;publico
divulgar;divulgo
mediar;medeio
magoar;magoo
percorrer;percorro
consumir;consumo
agredir;agrido
notar;noto
impedir;impeço
alterar;altero
agradar;agrado
festejar;festejo
louvar;louvo
conviver;convivo
aquecer;aqueço
erguer;ergo
reagir;reajo
proibir;proíbo
recolher;recolho
saltar;salto
obrigar;obrigo
duvidar;duvido
encarar;encaro
prescindir;prescindo
focar;foco
fornecer;forneço
falhar;falho
amarrar;amarro
anunciar;anuncio
fortalecer;fortaleço
dominar;domino
apreciar;aprecio
bastar;basto
renovar;renovo
bloquear;bloqueio
montar;monto
roer;roo
frear;freio
acrescentar;acrescento
prevenir;previno
socorrer;socorro
torcer;torço
desaparecer;desapareço
aplaudir;aplaudo
prezar;prezo
meter;meto
manifestar;manifesto
livrar;livro
eleger;elejo
ocupar;ocupo
comemorar;comemoro
caçar;caço
pesquisar;pesquiso
expandir;expando
avançar;avanço
afirmar;afirmo
retornar;retorno
tender;tendo
inverter;inverto
explodir;explodo
combater;combato
convencer;convenço
gozar;gozo
trair;traio
soltar;solto
controlar;controlo
depor;deponho
temer;temo
necessitar;necessito
consertar;conserto
remediar;remedeio
adormecer;adormeço
inspirar;inspiro
empurrar;empurro
demonstrar;demonstro
carregar;carrego
averiguar;averiguo
pescar;pesco
promover;promovo
abster;abstenho
avistar;avisto
assinar;assino
auxiliar;auxilio
acertar;acerto
identificar;identifico
adicionar;adiciono
tecer;teço
deslocar;desloco
parir;pairo
ultrapassar;ultrapasso
abençoar;abençoo
completar;completo
submeter;submeto
advir;advenho
jazer;jazo
resumir;resumo
traduzir;traduzo
brigar;brigo
respirar;respiro
fixar;fixo
cobrar;cobro
conferir;confiro
incendiar;incendeio
melhorar;melhoro
estimular;estimulo
comparar;comparo
inserir;insiro
distribuir;distribuo
preencher;preencho
tremer;tremo
saciar;sacio
nutrir;nutro
moer;moo
confessar;confesso
maquiar;maquio
organizar;organizo
iludir;iludo
infartar;infarto
inventar;invento
curar;curo
calcular;calculo
romper;rompo
cansar;canso
recuperar;recupero
colaborar;colaboro
repolir;repolo
comprovar;comprovo
verificar;verifico
reservar;reservo
aumentar;aumento
suprir;supro
empoderar;empodero
integrar;integro
variar;vario
orar;oro
cercar;cerco
disfarçar;disfarço
ladrar;ladro
instalar;instalo
folhear;folheio
declarar;declaro
treinar;treino
nomear;nomeio
aprovar;aprovo
pisar;piso
reduzir;reduzo
desculpar;desculpo
apertar;aperto
assar;asso
comentar;comento
transpor;transponho
gerar;gero
cultivar;cultivo
cessar;cesso
enjoar;enjoo
descrever;descrevo
contradizer;contradigo
contactar;contacto
transmitir;transmito
regressar;regresso
anoitecer;anoiteço
libertar;liberto
admitir;admito
combinar;combino
vigiar;vigio
abordar;abordo
rodar;rodo
suceder;sucedo
significar;significo
custar;custo
interessar;interesso
bailar;bailo
apaixonar;apaixono
soar;soo
sossegar;sossego
recorrer;recorro
chupar;chupo
solicitar;solicito
amanhecer;amanheço
intermediar;intermedeio
alugar;alugo
agarrar;agarro
planejar;planejo
traçar;traço
colar;colo
negociar;negocio
acudir;acudo
pertencer;pertenço
consentir;consinto
estrear;estreio
atualizar;atualizo
introduzir;introduzo
girar;giro
cumprimentar;cumprimento
durar;duro
lamber;lambo
admirar;admiro
estender;estendo
associar;associo
acessar;acesso
imitar;imito
pronunciar;pronuncio
desanimar;desanimo
rezar;rezo
rogar;rogo
possibilitar;possibilito
ranger;ranjo
cear;ceio
corresponder;correspondo
sugar;sugo
envolver;envolvo
evoluir;evoluo
enxergar;enxergo
bocejar;bocejo
costumar;costumo
caracterizar;caracterizo
remover;removo
suportar;suporto
pousar;pouso
enterrar;enterro
reciprocar;reciproco
enxaguar;enxáguo
comprazer;comprazo
investir;invisto
secar;seco
relacionar;relaciono
viger;vijo
extinguir;extingo
engordar;engordo
advertir;advirto
exprimir;exprimo
despejar;despejo
enfrentar;enfrento
queixar;queixo
eximir;eximo
baixar;baixo
providenciar;providencio
transferir;transfiro
ferver;fervo
visar;viso
avaliar;avalio
investigar;investigo
soprar;sopro
sacudir;sacudo
determinar;determino
renascer;renasço
ordenar;ordeno
frigir;frijo
referir;refiro
despertar;desperto
retribuir;retribuo
escorregar;escorrego
bulir;bulo
poupar;poupo
embarcar;embarco
poluir;poluo
simpatizar;simpatizo
machucar;machuco
uivar;uivo
contatar;contato
preservar;preservo
peidar;peido
governar;governo
inscrever;inscrevo
pleitear;pleiteio
atuar;atuo
deduzir;deduzo
homenagear;homenageio
saudar;saúdo
funcionar;funciono
molhar;molho
lamentar;lamento
patinar;patino
prestigiar;prestigio
estremecer;estremeço
vulgar;vulgo
estressar;estresso
circular;circulo
alimentar;alimento
estabelecer;estabeleço
misturar;misturo
suspender;suspendo
atacar;ataco
esforçar;esforço
provocar;provoco
pregar;prego
amassar;amasso
assustar;assusto
mirar;miro
subtrair;subtraio
revelar;revelo
desligar;desligo
esclarecer;esclareço
arranhar;arranho
chutar;chuto
ampliar;amplio
encantar;encanto
incomodar;incomodo
chatear;chateio
resultar;resulto
indagar;indago
progredir;progrido
transportar;transporto
debater;debato
transbordar;transbordo
decepcionar;decepciono
abaixar;abaixo
brilhar;brilho
rolar;rolo
premiar;premio
tragar;trago
antever;antevejo
alertar;alerto
equivaler;equivalho
fritar;frito
alegar;alego
sustentar;sustento
conceder;concedo
adotar;adoto
empregar;emprego
empenhar;empenho
ater;atenho
botar;boto
vozear;vozeio
concentrar;concentro
balançar;balanço
atirar;atiro
exibir;exibo
xingar;xingo
sujar;sujo
debruçar;debruço
guiar;guio
desfrutar;desfruto
atrapalhar;atrapalho
colecionar;coleciono
mergulhar;mergulho
converter;converto
consolar;consolo
regar;rego
proceder;procedo
aguentar;aguento
sobrevir;sobrevenho
depender;dependo
arguir;arguo
rugir;rujo
enxugar;enxugo
experimentar;experimento
trancar;tranco
cozer;cozo
prosseguir;prossigo
confeccionar;confecciono
acalmar;acalmo
titubear;titubeio
ressarcir;ressarço
prejudicar;prejudico
diferir;difiro
derrubar;derrubo
conservar;conservo
condizer;condigo
regular;regulo
arder;ardo
registrar;registro
recomendar;recomendo
clarear;clareio
acolher;acolho
valorizar;valorizo
nevar;nevo
arrasar;arraso
calcar;calco
expulsar;expulso
recordar;recordo
votar;voto
interromper;interrompo
acenar;aceno
repreender;repreendo
envergonhar;envergonho
assinalar;assinalo
revisar;reviso
executar;executo
consultar;consulto
repassar;repasso
piscar;pisco
celebrar;celebro
contratar;contrato
gerir;giro
lanchar;lancho
viciar;vicio
incentivar;incentivo
postar;posto
influenciar;influencio
computar;computo
editar;edito
recuar;recuo
criticar;critico
conectar;conecto
abranger;abranjo
usufruir;usufruo
farejar;farejo
elogiar;elogio
fiar;fio
vagar;vago
adiar;adio
questionar;questiono
marchar;marcho
movimentar;movimento
olvidar;olvido
volver;volvo
prescrever;prescrevo
localizar;localizo
limitar;limito
adaptar;adapto
isolar;isolo
liberar;libero
complementar;complemento
conformar;conformo
omitir;omito
conceber;concebo
acelerar;acelero
mobiliar;mobílio
ajoelhar;ajoelho
conscientizar;conscientizo
anexar;anexo
reparar;reparo
espantar;espanto
emergir;emerjo
espalhar;espalho
aliviar;alivio
ocultar;oculto
reprovar;reprovo
finalizar;finalizo
atar;ato
citar;cito
encostar;encosto
classificar;classifico
assegurar;asseguro
irritar;irrito
designar;designo
somar;somo
ofender;ofendo
interferir;interfiro
relaxar;relaxo
catar;cato
sobreviver;sobrevivo
envelhecer;envelheço
redigir;redijo
mastigar;mastigo
amostrar;amostro
destacar;destaco
apontar;aponto
derreter;derreto
cantarolar;cantarolo
desbloquear;desbloqueio
ventar;vento
incidir;incido
amparar;amparo
firmar;firmo
tolher;tolho
cancelar;cancelo
instituir;instituo
frequentar;frequento
emagrecer;emagreço
gravar;gravo
decompor;decomponho
desviar;desvio
apaziguar;apaziguo
restar;resto
examinar;examino
pesar;peso
aconselhar;aconselho
trovejar;trovejo
espancar;espanco
apreender;apreendo
irradiar;irradio
aspirar;aspiro
boiar;boio
escapar;escapo
contrapor;contraponho
economizar;economizo
fartar;farto
convocar;convoco
conciliar;concilio
preguiçar;preguiço
implicar;implico
contemplar;contemplo
suprimir;suprimo
largar;largo
exercitar;exercito
relatar;relato
demitir;demito
arrancar;arranco
velar;velo
visualizar;visualizo
incorporar;incorporo
transar;transo
comprometer;comprometo
fundamentar;fundamento
recusar;recuso
inaugurar;inauguro
desempenhar;desempenho
cruzar;cruzo
censurar;censuro
capturar;capturo
afetar;afeto
difundir;difundo
compartir;comparto
excitar;excito
posicionar;posiciono
arquivar;arquivo
persistir;persisto
raspar;raspo
ofertar;oferto
sacrificar;sacrifico
jurar;juro
transitar;transito
navegar;navego
disponibilizar;disponibilizo
pasmar;pasmo
denunciar;denuncio
pingar;pingo
pender;pendo
remeter;remeto
fluir;fluo
processar;processo
reinar;reino
rechaçar;rechaço
habitar;habito
entupir;entupo
divergir;divirjo
desavir;desavenho
endereçar;endereço
reenviar;reenvio
digerir;digiro
estragar;estrago
tingir;tinjo
benzer;benzo
abastecer;abasteço
dispensar;dispenso
direcionar;direciono
aborrecer;aborreço
suspeitar;suspeito
encolher;encolho
autorizar;autorizo
facilitar;facilito
revoltar;revolto
calçar;calço
apostar;aposto
forçar;forço
absorver;absorvo
partilhar;partilho
oprimir;oprimo
manusear;manuseio
vaguear;vagueio
elaborar;elaboro
alisar;aliso
espirrar;espirro
sortear;sorteio
explorar;exploro
espreitar;espreito
cavar;cavo
fitar;fito
desperdiçar;desperdiço
salientar;saliento
proclamar;proclamo
ilustrar;ilustro
contornar;contorno
dissuadir;dissuado
sequestrar;sequestro
apropriar;aproprio
interrogar;interrogo
abstrair;abstraio
ameaçar;ameaço
hesitar;hesito
decorar;decoro
favorecer;favoreço
persuadir;persuado
pecar;peco
ensaiar;ensaio
florescer;floresço
dobrar;dobro
expelir;expilo
interpor;interponho
desmanchar;desmancho
arruinar;arruíno
priorizar;priorizo
abater;abato
convergir;convirjo
anotar;anoto
enfeitar;enfeito
afligir;aflijo
ingressar;ingresso
recompor;recomponho
apressar;apresso
pressupor;pressuponho
sobrepor;sobreponho
fabricar;fabrico
desmoronar;desmorono
encaixar;encaixo
sussurrar;sussurro
restaurar;restauro
motivar;motivo
espiar;espio
modificar;modifico
adoecer;adoeço
interpretar;interpreto
emocionar;emociono
murmurar;murmuro
afrontar;afronto
constranger;constranjo
devorar;devoro
cadastrar;cadastro
vivenciar;vivencio
sobrar;sobro
enrolar;enrolo
selecionar;seleciono
almejar;almejo
declinar;declino
coar;coo
esquentar;esquento
aventurar;aventuro
testar;testo
ajuntar;ajunto
angustiar;angustio
delinquir;delínquo
furar;furo
berrar;berro
refugiar;refugio
quedar;quedo
gelar;gelo
implantar;implanto
inquietar;inquieto
acusar;acuso
depositar;deposito
presenciar;presencio
estourar;estouro
deslizar;deslizo
viabilizar;viabilizo
denominar;denomino
agendar;agendo
encarregar;encarrego
rasgar;rasgo
falecer;faleço
escurecer;escureço
desmaiar;desmaio
entrevistar;entrevisto
solucionar;soluciono
justificar;justifico
submergir;submerjo
culpar;culpo
resgatar;resgato
desafiar;desafio
abanar;abano
aperfeiçoar;aperfeiçoo
suicidar;suicido
tropeçar;tropeço
protestar;protesto
costurar;costuro
ajeitar;ajeito
irar;iro
desembarcar;desembarco
transgredir;transgrido
cativar;cativo
suspirar;suspiro
cursar;curso
embrulhar;embrulho
arrastar;arrasto
estacionar;estaciono
miar;mio
assaltar;assalto
arrepender;arrependo
irromper;irrompo
atentar;atento
pulsar;pulso
embalar;embalo
checar;checo
desconsiderar;desconsidero
aterrissar;aterrisso
desobedecer;desobedeço
picar;pico
residir;resido
consistir;consisto
narrar;narro
ousar;ouso
tacar;taco
amadurecer;amadureço
agitar;agito
entrever;entrevejo
silenciar;silencio
indispor;indisponho
coser;coso
penar;peno
chantagear;chantageio
ensaboar;ensaboo
influir;influo
mencionar;menciono
teimar;teimo
condenar;condeno
transparecer;transpareço
oportunizar;oportunizo
exemplificar;exemplifico
reproduzir;reproduzo
abdicar;abdico
concorrer;concorro
comportar;comporto
adiantar;adianto
gustar;gusto
atropelar;atropelo
manejar;manejo
contrair;contraio
estimar;estimo
mapear;mapeio
desconfiar;desconfio
formular;formulo
restringir;restrinjo
sortir;surto
fotografar;fotografo
obstruir;obstruo
sintonizar;sintonizo
vislumbrar;vislumbro
arriscar;arrisco
trepar;trepo
fuçar;fuço
aniquilar;aniquilo
bagunçar;bagunço
sarar;saro
renunciar;renuncio
aperceber;apercebo
perpassar;perpasso
antepor;anteponho
remar;remo
erradicar;erradico
seduzir;seduzo
luzir;luzo
recepcionar;recepciono
desdizer;desdigo
coçar;coço
corroer;corroo
arremessar;arremesso
imergir;imerjo
minguar;minguo
testemunhar;testemunho
contestar;contesto
humilhar;humilho
enriquecer;enriqueço
sintetizar;sintetizo
disputar;disputo
corromper;corrompo
equilibrar;equilibro
findar;findo
mijar;mijo
vaiar;vaio
desprezar;desprezo
popularizar;popularizo
notificar;notifico
constar;consto
isentar;isento
brindar;brindo
preterir;pretiro
podar;podo
agilizar;agilizo
denegrir;denigro
reforçar;reforço
pestanejar;pestanejo
apartar;aparto
diferenciar;diferencio
palpitar;palpito
incorrer;incorro
derramar;derramo
esticar;estico
derivar;derivo
reciclar;reciclo
rechear;recheio
instaurar;instauro
operar;opero
alfabetizar;alfabetizo
naufragar;naufrago
ascender;ascendo
militar;milito
arriar;arrio
felicitar;felicito
reconstruir;reconstruo
relembrar;relembro
rodear;rodeio
especular;especulo
taxar;taxo
proferir;profiro
eliminar;elimino
ativar;ativo
alvorecer;alvoreço
esvair;esvaio
poer;poo
pastar;pasto
interpelar;interpelo
batizar;batizo
estranhar;estranho
agregar;agrego
enaltecer;enalteço
projetar;projeto
programar;programo
urrar;urro
perfazer;perfaço
inclinar;inclino
discordar;discordo
abracar;abraco
interver;intervejo
expedir;expeço
retardar;retardo
desferir;desfiro
mamar;mamo
espertar;esperto
validar;valido
quicar;quico
armar;armo
contrariar;contrario
esfregar;esfrego
apor;aponho
vacinar;vacino
deparar;deparo
infringir;infrinjo
confortar;conforto
regalar;regalo
enforcar;enforco
espremer;espremo
exagerar;exagero
assentir;assinto
recomeçar;recomeço
galgar;galgo
compelir;compilo
descrer;descreio
encomendar;encomendo
suster;sustenho
cegar;cego
decorrer;decorro
frisar;friso
menear;meneio
ressuscitar;ressuscito
cocar;coco
intender;intendo
condoer;condoo
apurar;apuro
delatar;delato
orgulhar;orgulho
piorar;pioro
escusar;escuso
herdar;herdo
aferir;afiro
calhar;calho
abalar;abalo
furtar;furto
perecer;pereço
cambiar;cambio
sacar;saco
verbalizar;verbalizo
amarelecer;amareleço
predispor;predisponho
reiterar;reitero
segredar;segredo
acercar;acerco
emudecer;emudeço
zangar;zango
aprimorar;aprimoro
pelejar;pelejo
retomar;retomo
emigrar;emigro
encorajar;encorajo
sonar;sono
alongar;alongo
troçar;troço
elevar;elevo
jugar;jugo
pressionar;pressiono
triunfar;triunfo
abusar;abuso
descartar;descarto
despedaçar;despedaço
inutilizar;inutilizo
atear;ateio
decepar;decepo
desaguar;deságuo
indignar;indigno
opinar;opino
abrigar;abrigo
ressaltar;ressalto
inundar;inundo
aportar;aporto
constatar;constato
mangar;mango
redimir;redimo
dispersar;disperso
dialogar;dialogo
aprontar;apronto
articular;articulo
capitular;capitulo
descolar;descolo
riscar;risco
administrar;administro
predizer;predigo
apitar;apito
escalar;escalo
responsabilizar;responsabilizo
manjar;manjo
reverter;reverto
arrefecer;arrefeço
impressionar;impressiono
induzir;induzo
extravasar;extravaso
espumar;espumo
acomodar;acomodo
rondar;rondo
implorar;imploro
recortar;recorto
ondular;ondulo
enfiar;enfio
concertar;concerto
elencar;elenco
roncar;ronco
devir;devenho
multiplicar;multiplico
resmungar;resmungo
beneficiar;beneficio
vergar;vergo
acariciar;acaricio
exasperar;exaspero
derrotar;derroto
detestar;detesto
sanar;sano
caiar;caio
entristecer;entristeço
evidenciar;evidencio
malhar;malho
adular;adulo
cerzir;cirzo
desconhecer;desconheço
castigar;castigo
disparar;disparo
erigir;erijo
portar;porto
tagarelar;tagarelo
reviver;revivo
dourar;douro
fundir;fundo
hastear;hasteio
assobiar;assobio
quitar;quito
afogar;afogo
exclamar;exclamo
rejeitar;rejeito
intimar;intimo
privar;privo
ajustar;ajusto
patrocinar;patrocino
peneirar;peneiro
relampejar;relampejo
moldar;moldo
desatar;desato
exceder;excedo
congelar;congelo
hospedar;hospedo
almorçar;almorço
dissolver;dissolvo
restituir;restituo
monitorar;monitoro
topar;topo
paralisar;paraliso
impactar;impacto
esbarrar;esbarro
vingar;vingo
absolver;absolvo
revir;revenho
apiedar;apiedo
povoar;povoo
tutelar;tutelo
acarretar;acarreto
enlouquecer;enlouqueço
compensar;compenso
concretizar;concretizo
manchar;mancho
pendurar;penduro
fundar;fundo
trajar;trajo
gear;geio
acionar;aciono
abarcar;abarco
trincar;trinco
reprimir;reprimo
bendizer;bendigo
vibrar;vibro
martelar;martelo
aliar;alio
fantasiar;fantasio
baralhar;baralho
interceder;intercedo
altear;alteio
caçoar;caçoo
tencionar;tenciono
invejar;invejo
denotar;denoto
empatar;empato
acumular;acumulo
encaixotar;encaixoto
retorcer;retorço
descortinar;descortino
coincidir;coincido
vendar;vendo
enunciar;enuncio
capacitar;capacito
alojar;alojo
assoar;assoo
desabrochar;desabrocho
latejar;latejo
maldizer;maldigo
nortear;norteio
murchar;murcho
vazar;vazo
entardecer;entardeço
grampear;grampeio
esvaziar;esvazio
suplicar;suplico
alevantar;alevanto
ciciar;cicio
surtir;surto
aditar;adito
reivindicar;reivindico
comover;comovo
esvoaçar;esvoaço
inculcar;inculco
faiscar;faísco
apetecer;apeteço
acarinhar;acarinho
embeber;embebo
maltratar;maltrato
zelar;zelo
pairar;pairo
arcar;arco
tosquiar;tosquio
brotar;broto
matricular;matriculo
carecer;careço
exaltar;exalto
comandar;comando
protocolar;protocolo
intentar;intento
rastrear;rastreio
engarrafar;engarrafo
meditar;medito
inteirar;inteiro
lotar;loto
raciocinar;raciocino
recompensar;recompenso
recitar;recito
distanciar;distancio
amorar;amoro
postergar;postergo
debicar;debico
recobrar;recobro
afugentar;afugento
expirar;expiro
cerrar;cerro
configurar;configuro
acampar;acampo
esvaecer;esvaeço
cavalgar;cavalgo
fender;fendo
assessorar;assessoro
esfriar;esfrio
turvar;turvo
liderar;lidero
reler;releio
reconsiderar;reconsidero
corroborar;corroboro
gerenciar;gerencio
mondar;mondo
legar;lego
verter;verto
conferenciar;conferencio
eternizar;eternizo
verdejar;verdejo
lograr;logro
cobiçar;cobiço
contentar;contento
ditar;dito
despegar;despego
ensejar;ensejo
arquitetar;arquiteto
situar;situo
vegetar;vegeto
rescindir;rescindo
despontar;desponto
aturar;aturo
alagar;alago
desapontar;desaponto
bracejar;bracejo
discursar;discurso
arrepiar;arrepio
amargurar;amarguro
chocar;choco
fossar;fosso
antecipar;antecipo
cabecear;cabeceio
inibir;inibo
acentuar;acentuo
degustar;degusto
arrear;arreio
decrescer;decresço
planear;planeio
argumentar;argumento
tapar;tapo
danificar;danifico
defecar;defeco
prevalecer;prevaleço
comprimir;comprimo
assentar;assento
tremular;tremulo
despachar;despacho
pascer;pasço
instigar;instigo
comercializar;comercializo
descascar;descasco
deferir;defiro
sangrar;sangro
arar;aro
discorrer;discorro
divorciar;divorcio
aflorar;afloro
enfatizar;enfatizo
coletar;coleto
ministrar;ministro
reformar;reformo
forrar;forro
venerar;venero
adentrar;adentro
suplementar;suplemento
coroar;coroo
obstar;obsto
aludir;aludo
acondicionar;acondiciono
insultar;insulto
tatuar;tatuo
ponderar;pondero
arrombar;arrombo
sufocar;sufoco
desesperar;desespero
torturar;torturo
aviar;avio
sojugar;sojugo
permear;permeio
procrastinar;procrastino
empalidecer;empalideço
regredir;regrido
tolerar;tolero
babar;babo
plagiar;plagio
dilatar;dilato
filmar;filmo
fofocar;fofoco
desembocar;desemboco
propiciar;propicio
captar;capto
digitar;digito
aplacar;aplaco
amaldiçoar;amaldiçoo
decretar;decreto
locar;loco
refrigerar;refrigero
assassinar;assassino
zombar;zombo
pretextar;pretexto
erar;ero
esperançar;esperanço
desbotar;desboto
coagir;coajo
afeitar;afeito
delinear;delineio
repousar;repouso
alveitar;alveito
mascar;masco
dinamizar;dinamizo
tampar;tampo
memorizar;memorizo
implementar;implemento
preguntar;pregunto
arquejar;arquejo
subjugar;subjugo
transcrever;transcrevo
subministrar;subministro
emendar;emendo
despender;despendo
receitar;receito
cientificar;cientifico
mais-querer;mais-quero
pontuar;pontuo
afundar;afundo
solidarizar;solidarizo
complicar;complico
contagiar;contagio
temperar;tempero
mimar;mimo
lesionar;lesiono
encobrir;encubro
subsumir;subsumo
golpear;golpeio
remoer;remoo
sucumbir;sucumbo
revestir;revisto
impugnar;impugno
desvendar;desvendo
traspassar;traspasso
travar;travo
cassar;casso
desencadear;desencadeio
pirar;piro
perseverar;persevero
reentrar;reentro
reportar;reporto
coordenar;coordeno
empolgar;empolgo
renavegar;renavego
trasbordar;trasbordo
rabiscar;rabisco
patentear;patenteio
esfaquear;esfaqueio
selar;selo
coibir;coíbo
esfuziar;esfuzio
tranquilizar;tranquilizo
habituar;habituo
improvisar;improviso
mandrianar;mandriano
consumar;consumo
judiar;judio
jornadear;jornadeio
atalhar;atalho
descender;descendo
esbater;esbato
aposentar;aposento
certificar;certifico
apropinquar;apropinquo
cochilar;cochilo
sobressair;sobressaio
descair;descaio
pressentir;pressinto
