ansiar,#ansia#,anseio,#anseiu#
progredir,#progredi#,progrido,#progridu#
aderir,#aderi#,adiro,#adiru#
aferir,#aferi#,afiro,#afiru#
preterir,#preteri#,pretiro,#pretiru#
convergir,#konverji#,convirjo,#konvirju#
deferir,#deferi#,defiro,#defiru#
compelir,#kompeli#,compilo,#kompilu#
conseguir,#konsegi#,consigo,#konsigu#
ingerir,#injeri#,ingiro,#injiru#
entreter,#entrete#,entretenho,#entreteniu#
obter,#obite#,obtenho,#obiteniu#
ater,#ate#,atenho,#ateniu#
abster,#abiste#,abstenho,#abisteniu#
reter,#hete#,retenho,#heteniu#
manter,#mante#,matenho,#manteniu#
suster,#suste#,sustenho,#susteniu#
conter,#konte#,contenho,#konteniu#
entregar,#entrega#,entrego,#entrEgu#
comecar,#komesa#,comeco,#komEsu#
readequar,#headekua#,readequo,#headEkuu#
completar,#kompleta#,completo,#komplEtu#
adequar,#adekua#,adequo,#adEkuu#
manifestar,#manifesta#,manifesto,#manifEstu#
infectar,#infekita#,infecto,#infEkitu#
emprestar,#empresta#,empresto,#emprEstu#
detestar,#detesta#,detesto,#detEstu#
testar,#testa#,testo,#tEstu#
secar,#seka#,seco,#sEku#
levar,#leva#,levo,#lEvu#
observar,#obiserva#,observo,#obisErvu#
conversar,#konversa#,converso,#konvErsu#
fechar,#fexa#,fecho,#fExu#
expressar,#espresa#,expresso,#esprEsu#
antever,#anteve#,antevejo,#anteveju#
interver,#interver#,intervejo,#interveju#
rever,#heve#,revejo,#heveju#
entrever,#entreve#,entrevejo,#entreveju#
ver,#ve#,vejo,#veju#
obvir,#obivi#,obvenho,#obiveniu#
reconvir,#hekonvi#,reconvenho,#hekonveniu#
desconvir,#deskonvi#,deconvenho,#deskonveniu#
avir,#avi#,avenho,#aveniu#
desavir,#dezavi#,desavenho,#dezaveniu#
provir,#provi#,provenho,#proveniu#
revir,#hevi#,revenho,#heveniu#
convir,#konvi#,convenho,#konveniu#
sobrevir,#sobrevi#,sobrevenho,#sobreveniu#
excluir,#esklui#,excluo,#eskluu#
aproveitar,#aproveita#,aproveito,#aproveitu#
imaginar,#imajina#,imagino,#imajinu#
acabar,#akaba#,acabo,#akabu#
merecer,#merese#,mereso,#meresu#
viajar,#viaja#,viajo,#viaju#
conjugar,#konjuga#,conjugo,#konjugu#
plantar,#planta#,planto,#plantu#
enviar,#envia#,envio,#enviu#
crescer,#krese#,cresso,#kresu#
andar,#anda#,ando,#andu#
lambuzar,#lambuza#,lambuzo,#lambuzu#
estudar,#estuda#,estudo,#istudu#
continuar,#kontinua#,continuo,#kontinuu#
aguardar,#aguarda#,aguardo,#aguardu#
ligar,#liga#,ligo,#ligu#
chover,#xove#,chovo,#xovu#
gritar,#grita#,grito,#gritu#
exercer,#ezerse#,exerco,#ezersu#
agir,#aji#,ajo,#aju#
falar,#fala#,falo,#falu#
levantar,#levanta#,levanto,#levantu#
ficar,#fika#,fico,#fiku#
deixar,#deixa#,deixo,#deixu#
julgar,#julga#,julgo,#julgu#
possuir,#posui#,possuo,#posuu#
voar,#voa#,voo,#vou#
nadar,#nada#,nado,#nadu#
parar,#para#,paro,#paru#
comer,#kome#,como,#komu#
permanecer,#permanese#,permaneco,#permanesu#
participar,#partisipa#,participo,#partisipu#
cativar,#kativa#,cativo,#kativu#
agradecer,#agradese#,agradeco,#agradesu#
pular,#pula#,pulo,#pulu#
acompanhar,#akompania#,acompanho,#akompaniu#
dividir,#dividi#,divido,#dividu#
chegar,#xega#,chego,#xegu#
desejar,#dezeja#,desejo,#dezeju#
deslinguar,#deslingua#,deslinguo,#deslinguu#
casar,#kazar#,caso,#kazu#
zoar,#zoa#,zoo,#zou#
acontecer,#akonteser#,aconteco,#akontesu#
conhecer,#konieser#,conheco,#koniesu#
correr,#kohe#,corro,#kohu#
compreender,#kompreende#,compreendo,#kompreendu#
vender,#vende#,vendo,#vendu#
ensinar,#ensina#,ensino,#ensinu#
realizar,#healiza#,realizo,#healisu#
mudar,#muda#,mudo,#mudu#
permitir,#permiti#,permito,#permitu#
sofrer,#sofre#,sofro,#sofru#
atribuir,#atribui#,atribuo,#atribuu#
convidar,#konvida#,convido,#konvidu#
erigir,#eriji#,erijo,#eriju#
analisar,#analiza#,analizo,#analisu#
ocorrer,#okohe#,ocorro,#okohu#
dissolver,#disouve#,dissolvo,#disouvu#
comprazer,#kompraze#,comprazo,#komprazu#
mexer,#mexe#,mexo,#mexu#
precisar,#presiza#,preciso,#presizu#
corrigir,#kohijir#,corrijo,#kohiju#
respeitar,#hespeita#,respeito,#hespeitu#
lavar,#lava#,lavo,#lavu#
varrer,#vahe#,varro,#vahu#
beijar,#beija#,beijo,#beiju#
educar,#eduka#,educo,#eduku#
descer,#dese#,desco,#desu#
dirigir,#diriji#,dirijo,#diriju#
comprar,#kompra#,compro,#kompru#
sacudir,#sakudi#,sacudo,#sakudu#
trabalhar,#trabalia#,trabalho,#trabaliu#
assistir,#asisti#,assisto,#asistu#
submeter,#subimete#,submeto,#subimetu#
atender,#atende#,atendo,#atendu#
cantar,#kanta#,canto,#kantu#
surgir,#surji#,surjo,#surju#
procurar,#prokura#,procuro,#prokuru#
frigir,#friji#,frijo,#friju#
caminhar,#kaminia#,caminho,#kaminiu#
marcar,#marka#,marco,#marku#
esquecer,#eskese#,esqueco,#eskesu#
tentar,#tenta#,tento,#tentu#
decidir,#desidi#,decido,#desidu#
desistir,#dezisti#,desisto,#dezistu#
lembrar,#lembra#,lembro,#lembru#
aparecer,#aparese#,apareco,#aparesu#
brincar,#brinka#,brinco,#brinku#
usar,#uza#,uso,#uzu#
envolver,#envouve#,envolvo,#envouvu#
escrever,#eskreve#,escrevo,#eskrevu#
encaminhar,#enkaminiar#,encaminho,#enkaminiu#
ajudar,#ajuda#,ajudo,#ajudu#
discutir,#diskuti#,discuto,#diskutu#
entrar,#entra#,entro,#entru#
parecer,#parese#,pareco,#paresu#
partir,#parti#,parto,#partu#
apresentar,#aprezentar#,apresento,#aprezentu#
beber,#bebe#,bebo,#bebu#
adquirir,#adikiri#,adquiro,#adikiru#
oferecer,#oferese#,ofereco,#oferesu#
encher,#enxe#,encho,#enxu#
passar,#pasa#,passo,#pasu#
iniciar,#inisia#,inicio,#inisiu#
dancar,#dansa#,danco,#dansu#
encontrar,#enkontra#,encontro,#enkontru#
sonhar,#soniar#,sonho,#soniu#
compartilhar,#kompartilia#,compartilho,#kompartiliu#
aprender,#aprende#,aprendo,#aprendu#
avisar,#aviza#,aviso,#avizu#
entender,#entende#,entendo,#entendu#
mandar,#manda#,mando,#mandu#
preocupar,#preukupa#,preocupo,#preukupu#
garantir,#garanti#,garanto,#garantu#
sentar,#senta#,sento,#sentu#
chamar,#xama#,chamo,#xamu#
murchar,#murxa#,murcho,#murxu#
rir,#hi#,rio,#hiu#
incorrer,#inkohe#,incorro,#inkohu#
mobiliar,#mobiliar#,mobilio,#mobiliu#
bulir,#buli#,bulo,#bulu#
fugir,#fuji#,fujo,#fuju#
advetir,#adiverti#,adverto,#adivertu#
desprover,#desprove#,desprovo,#desprovu#
consumir,#konsumi#,consumo,#konsumu#
defender,#denfende#,defendo,#defendu#
jazer,#jaze#,jazo,#jazu#
contravir,#kontravi#,contravo,#kontravu#
afligir,#afliji#,aflijo,#afliju#
incluir,#inklui#,incluo,#inkluu#
transfugir,#transfuji#,transfujo,#transfuju#
emergir,#emerji#,emerjo,#emerju#
redar,#heda#,redo,#hedu#
despolir,#despoli#,despolo,#despolu#
desaguar,#dezagua#,desaguo,#dezaguu#
expulsar,#espulsa#,expulso,#espulsu#
revolver,#hevolve#,revolvo,#hevolvu#
enxugar,#enxuga#,enxugo,#enxugu#
escapulir,#eskapuli#,escapulo,#eskapulu#
convencer,#konvense#,convenco,#konvensu#
retrair,#hetrai#,retraio,#hetraiu#
moer,#moe#,moo,#mou#
abrir,#abri#,abro,#abru#
concluir,#konklui#,concluo,#konkluu#
atingir,#atinji#,atinjo,#atinju#
ocultar,#okulta#,oculto,#okultu#
isentar,#izenta#,isento,#izentu#
limpar,#limpa#,limpo,#limpu#
exprimir,#esprimi#,exprimo,#esprimu#
fartar,#fartar#,farto,#fartu#
trair,#trai#,traio,#traiu#
minguar,#mingua#,minguo,#minguu#
desmobiliar,#desmobilia#,desmobilio,#desmobiliu#
sorrir,#sohi#,sorrio,#sohiu#
perverter,#perverte#,perverto,#pervertu#
precluir,#preklui#,precluo,#prekluu#
contrair,#kontrai#,contraio,#kontraiu#
extinguir,#estingi#,extingo,#estingu#
desprecaver,#desprekave#,desprecavo,#desprekavu#
telever,#televe#,televo,#televu#
entupir,#entupi#,entupo,#entupu#
descalcar,#deskalsa#,descalco,#deskalsu#
pretender,#pretende#,pretendo,#pretendu#
imergir,#imerji#,imerjo,#imerju#
submergir,#subimerji#,submerjo,#subimerju#
benzer,#benze#,benzo,#benzu#
atrair,#atrai#,atraio,#atraiu#
cultivar,#kultiva#,cultivo,#kultivu#
escolher,#eskolie#,escolho,#eskoliu#
segurar,#segura#,seguro,#seguru#
acender,#asende#,acendo,#asendu#
corromper,#kohompe#,corrompo,#kohompu#
